Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
2010-11,2010-12-26T00:00:00Z,Blackburn,Stoke,0,2,A,0,0,D
2010-11,2010-12-26T00:00:00Z,Bolton,West Brom,2,0,H,1,0,H
2010-11,2010-12-26T00:00:00Z,Fulham,West Ham,1,3,A,1,2,A
2010-11,2010-12-26T00:00:00Z,Man United,Sunderland,2,0,H,1,0,H
2010-11,2010-12-26T00:00:00Z,Newcastle,Man City,1,3,A,0,2,A
2010-11,2010-12-26T00:00:00Z,Wolves,Wigan,1,2,A,0,2,A
2010-11,2010-12-27T00:00:00Z,Arsenal,Chelsea,3,1,H,1,0,H
2010-11,2010-12-28T00:00:00Z,Birmingham,Man United,1,1,D,0,0,D
2010-11,2010-12-28T00:00:00Z,Man City,Aston Villa,4,0,H,3,0,H
2010-11,2010-12-28T00:00:00Z,Stoke,Fulham,0,2,A,0,2,A
2010-11,2010-12-28T00:00:00Z,Sunderland,Blackpool,0,2,A,0,0,D
2010-11,2010-12-28T00:00:00Z,Tottenham,Newcastle,2,0,H,0,0,D
2010-11,2010-12-28T00:00:00Z,West Brom,Blackburn,1,3,A,1,1,D
2010-11,2010-12-28T00:00:00Z,West Ham,Everton,1,1,D,1,1,D
2010-11,2010-12-29T00:00:00Z,Chelsea,Bolton,1,0,H,0,0,D
2010-11,2010-12-29T00:00:00Z,Liverpool,Wolves,0,1,A,0,0,D
2010-11,2010-12-29T00:00:00Z,Wigan,Arsenal,2,2,D,1,2,A
2010-11,2011-01-01T00:00:00Z,Birmingham,Arsenal,0,3,A,0,1,A
2010-11,2011-01-01T00:00:00Z,Liverpool,Bolton,2,1,H,0,1,A
2010-11,2011-01-01T00:00:00Z,Man City,Blackpool,1,0,H,1,0,H
2010-11,2011-01-01T00:00:00Z,Stoke,Everton,2,0,H,1,0,H
2010-11,2011-01-01T00:00:00Z,Sunderland,Blackburn,3,0,H,2,0,H
2010-11,2011-01-01T00:00:00Z,Tottenham,Fulham,1,0,H,1,0,H
2010-11,2011-01-01T00:00:00Z,West Brom,Man United,1,2,A,1,1,D
2010-11,2011-01-01T00:00:00Z,West Ham,Wolves,2,0,H,0,0,D
2010-11,2011-01-02T00:00:00Z,Chelsea,Aston Villa,3,3,D,1,1,D
2010-11,2011-01-02T00:00:00Z,Wigan,Newcastle,0,1,A,0,1,A
2010-11,2011-01-04T00:00:00Z,Blackpool,Birmingham,1,2,A,0,1,A
2010-11,2011-01-04T00:00:00Z,Fulham,West Brom,3,0,H,1,0,H
2010-11,2011-01-04T00:00:00Z,Man United,Stoke,2,1,H,1,0,H
2010-11,2011-01-05T00:00:00Z,Arsenal,Man City,0,0,D,0,0,D
2010-11,2011-01-05T00:00:00Z,Aston Villa,Sunderland,0,1,A,0,0,D
2010-11,2011-01-05T00:00:00Z,Blackburn,Liverpool,3,1,H,2,0,H
2010-11,2011-01-05T00:00:00Z,Bolton,Wigan,1,1,D,0,0,D
2010-11,2011-01-05T00:00:00Z,Everton,Tottenham,2,1,H,1,1,D
2010-11,2011-01-05T00:00:00Z,Newcastle,West Ham,5,0,H,3,0,H
2010-11,2011-01-05T00:00:00Z,Wolves,Chelsea,1,0,H,1,0,H
2010-11,2011-01-12T00:00:00Z,Blackpool,Liverpool,2,1,H,1,1,D
2010-11,2011-01-15T00:00:00Z,Chelsea,Blackburn,2,0,H,0,0,D
2010-11,2011-01-15T00:00:00Z,Man City,Wolves,4,3,H,1,1,D
2010-11,2011-01-15T00:00:00Z,Stoke,Bolton,2,0,H,1,0,H
2010-11,2011-01-15T00:00:00Z,West Brom,Blackpool,3,2,H,1,1,D
2010-11,2011-01-15T00:00:00Z,West Ham,Arsenal,0,3,A,0,2,A
2010-11,2011-01-15T00:00:00Z,Wigan,Fulham,1,1,D,0,0,D
2010-11,2011-01-16T00:00:00Z,Birmingham,Aston Villa,1,1,D,0,0,D
2010-11,2011-01-16T00:00:00Z,Liverpool,Everton,2,2,D,1,0,H
2010-11,2011-01-16T00:00:00Z,Sunderland,Newcastle,1,1,D,0,0,D
2010-11,2011-01-16T00:00:00Z,Tottenham,Man United,0,0,D,0,0,D
2010-11,2011-01-22T00:00:00Z,Arsenal,Wigan,3,0,H,1,0,H
2010-11,2011-01-22T00:00:00Z,Aston Villa,Man City,1,0,H,1,0,H
2010-11,2011-01-22T00:00:00Z,Blackpool,Sunderland,1,2,A,0,2,A
2010-11,2011-01-22T00:00:00Z,Everton,West Ham,2,2,D,0,1,A
2010-11,2011-01-22T00:00:00Z,Fulham,Stoke,2,0,H,1,0,H
2010-11,2011-01-22T00:00:00Z,Man United,Birmingham,5,0,H,3,0,H
2010-11,2011-01-22T00:00:00Z,Newcastle,Tottenham,1,1,D,0,0,D
2010-11,2011-01-22T00:00:00Z,Wolves,Liverpool,0,3,A,0,1,A
2010-11,2011-01-23T00:00:00Z,Blackburn,West Brom,2,0,H,1,0,H
2010-11,2011-01-24T00:00:00Z,Bolton,Chelsea,0,4,A,0,2,A
2010-11,2011-01-25T00:00:00Z,Blackpool,Man United,2,3,A,2,0,H
2010-11,2011-01-25T00:00:00Z,Wigan,Aston Villa,1,2,A,0,0,D
2010-11,2011-01-26T00:00:00Z,Liverpool,Fulham,1,0,H,0,0,D
2010-11,2011-02-01T00:00:00Z,Arsenal,Everton,2,1,H,0,1,A
2010-11,2011-02-01T00:00:00Z,Man United,Aston Villa,3,1,H,2,0,H
2010-11,2011-02-01T00:00:00Z,Sunderland,Chelsea,2,4,A,2,2,D
2010-11,2011-02-01T00:00:00Z,West Brom,Wigan,2,2,D,1,2,A
2010-11,2011-02-02T00:00:00Z,Birmingham,Man City,2,2,D,1,2,A
2010-11,2011-02-02T00:00:00Z,Blackburn,Tottenham,0,1,A,0,1,A
2010-11,2011-02-02T00:00:00Z,Blackpool,West Ham,1,3,A,1,3,A
2010-11,2011-02-02T00:00:00Z,Bolton,Wolves,1,0,H,0,0,D
2010-11,2011-02-02T00:00:00Z,Fulham,Newcastle,1,0,H,0,0,D
2010-11,2011-02-02T00:00:00Z,Liverpool,Stoke,2,0,H,0,0,D
2010-11,2011-02-05T00:00:00Z,Aston Villa,Fulham,2,2,D,1,0,H
2010-11,2011-02-05T00:00:00Z,Everton,Blackpool,5,3,H,1,1,D
2010-11,2011-02-05T00:00:00Z,Man City,West Brom,3,0,H,3,0,H
2010-11,2011-02-05T00:00:00Z,Newcastle,Arsenal,4,4,D,0,4,A
2010-11,2011-02-05T00:00:00Z,Stoke,Sunderland,3,2,H,1,1,D
2010-11,2011-02-05T00:00:00Z,Tottenham,Bolton,2,1,H,1,0,H
2010-11,2011-02-05T00:00:00Z,Wigan,Blackburn,4,3,H,1,1,D
2010-11,2011-02-05T00:00:00Z,Wolves,Man United,2,1,H,2,1,H
2010-11,2011-02-06T00:00:00Z,Chelsea,Liverpool,0,1,A,0,0,D
2010-11,2011-02-06T00:00:00Z,West Ham,Birmingham,0,1,A,0,0,D
2010-11,2011-02-12T00:00:00Z,Arsenal,Wolves,2,0,H,1,0,H
2010-11,2011-02-12T00:00:00Z,Birmingham,Stoke,1,0,H,0,0,D
2010-11,2011-02-12T00:00:00Z,Blackburn,Newcastle,0,0,D,0,0,D
2010-11,2011-02-12T00:00:00Z,Blackpool,Aston Villa,1,1,D,1,1,D
2010-11,2011-02-12T00:00:00Z,Liverpool,Wigan,1,1,D,1,0,H
2010-11,2011-02-12T00:00:00Z,Man United,Man City,2,1,H,1,0,H
2010-11,2011-02-12T00:00:00Z,Sunderland,Tottenham,1,2,A,1,1,D
2010-11,2011-02-12T00:00:00Z,West Brom,West Ham,3,3,D,3,0,H
2010-11,2011-02-13T00:00:00Z,Bolton,Everton,2,0,H,1,0,H
2010-11,2011-02-14T00:00:00Z,Fulham,Chelsea,0,0,D,0,0,D
2010-11,2011-02-15T00:00:00Z,Birmingham,Newcastle,0,2,A,0,1,A
2010-11,2011-02-20T00:00:00Z,West Brom,Wolves,1,1,D,0,1,A
2010-11,2011-02-22T00:00:00Z,Blackpool,Tottenham,3,1,H,2,0,H
2010-11,2011-02-23T00:00:00Z,Arsenal,Stoke,1,0,H,1,0,H
2010-11,2011-02-26T00:00:00Z,Aston Villa,Blackburn,4,1,H,0,0,D
2010-11,2011-02-26T00:00:00Z,Everton,Sunderland,2,0,H,2,0,H
2010-11,2011-02-26T00:00:00Z,Newcastle,Bolton,1,1,D,1,1,D
2010-11,2011-02-26T00:00:00Z,Wigan,Man United,0,4,A,0,1,A
2010-11,2011-02-26T00:00:00Z,Wolves,Blackpool,4,0,H,1,0,H
2010-11,2011-02-27T00:00:00Z,Man City,Fulham,1,1,D,1,0,H
2010-11,2011-02-27T00:00:00Z,West Ham,Liverpool,3,1,H,2,0,H
2010-11,2011-02-28T00:00:00Z,Stoke,West Brom,1,1,D,0,0,D
2010-11,2011-03-01T00:00:00Z,Chelsea,Man United,2,1,H,0,1,A
2010-11,2011-03-05T00:00:00Z,Arsenal,Sunderland,0,0,D,0,0,D
2010-11,2011-03-05T00:00:00Z,Birmingham,West Brom,1,3,A,0,0,D
2010-11,2011-03-05T00:00:00Z,Bolton,Aston Villa,3,2,H,1,1,D
2010-11,2011-03-05T00:00:00Z,Fulham,Blackburn,3,2,H,1,1,D
2010-11,2011-03-05T00:00:00Z,Man City,Wigan,1,0,H,1,0,H
2010-11,2011-03-05T00:00:00Z,Newcastle,Everton,1,2,A,1,2,A
2010-11,2011-03-05T00:00:00Z,West Ham,Stoke,3,0,H,2,0,H
2010-11,2011-03-06T00:00:00Z,Liverpool,Man United,3,1,H,2,0,H
2010-11,2011-03-06T00:00:00Z,Wolves,Tottenham,3,3,D,2,2,D
2010-11,2011-03-07T00:00:00Z,Blackpool,Chelsea,1,3,A,0,1,A
2010-11,2011-03-09T00:00:00Z,Everton,Birmingham,1,1,D,1,1,D
2010-11,2011-03-19T00:00:00Z,Aston Villa,Wolves,0,1,A,0,1,A
2010-11,2011-03-19T00:00:00Z,Blackburn,Blackpool,2,2,D,0,2,A
2010-11,2011-03-19T00:00:00Z,Everton,Fulham,2,1,H,1,0,H
2010-11,2011-03-19T00:00:00Z,Man United,Bolton,1,0,H,0,0,D
2010-11,2011-03-19T00:00:00Z,Stoke,Newcastle,4,0,H,1,0,H
2010-11,2011-03-19T00:00:00Z,Tottenham,West Ham,0,0,D,0,0,D
2010-11,2011-03-19T00:00:00Z,West Brom,Arsenal,2,2,D,1,0,H
2010-11,2011-03-19T00:00:00Z,Wigan,Birmingham,2,1,H,1,1,D
2010-11,2011-03-20T00:00:00Z,Chelsea,Man City,2,0,H,0,0,D
2010-11,2011-03-20T00:00:00Z,Sunderland,Liverpool,0,2,A,0,1,A
2010-11,2011-04-02T00:00:00Z,Arsenal,Blackburn,0,0,D,0,0,D
2010-11,2011-04-02T00:00:00Z,Birmingham,Bolton,2,1,H,1,0,H
2010-11,2011-04-02T00:00:00Z,Everton,Aston Villa,2,2,D,1,0,H
2010-11,2011-04-02T00:00:00Z,Newcastle,Wolves,4,1,H,2,0,H
2010-11,2011-04-02T00:00:00Z,Stoke,Chelsea,1,1,D,1,1,D
2010-11,2011-04-02T00:00:00Z,West Brom,Liverpool,2,1,H,0,0,D
2010-11,2011-04-02T00:00:00Z,West Ham,Man United,2,4,A,2,0,H
2010-11,2011-04-02T00:00:00Z,Wigan,Tottenham,0,0,D,0,0,D
2010-11,2011-04-03T00:00:00Z,Fulham,Blackpool,3,0,H,2,0,H
2010-11,2011-04-03T00:00:00Z,Man City,Sunderland,5,0,H,2,0,H
2010-11,2011-04-09T00:00:00Z,Blackburn,Birmingham,1,1,D,1,1,D
2010-11,2011-04-09T00:00:00Z,Bolton,West Ham,3,0,H,2,0,H
2010-11,2011-04-09T00:00:00Z,Chelsea,Wigan,1,0,H,0,0,D
2010-11,2011-04-09T00:00:00Z,Man United,Fulham,2,0,H,2,0,H
2010-11,2011-04-09T00:00:00Z,Sunderland,West Brom,2,3,A,2,1,H
2010-11,2011-04-09T00:00:00Z,Tottenham,Stoke,3,2,H,3,2,H
2010-11,2011-04-09T00:00:00Z,Wolves,Everton,0,3,A,0,3,A
2010-11,2011-04-10T00:00:00Z,Aston Villa,Newcastle,1,0,H,1,0,H
2010-11,2011-04-10T00:00:00Z,Blackpool,Arsenal,1,3,A,0,2,A
2010-11,2011-04-11T00:00:00Z,Liverpool,Man City,3,0,H,3,0,H
2010-11,2011-04-16T00:00:00Z,Birmingham,Sunderland,2,0,H,1,0,H
2010-11,2011-04-16T00:00:00Z,Blackpool,Wigan,1,3,A,0,2,A
2010-11,2011-04-16T00:00:00Z,Everton,Blackburn,2,0,H,0,0,D
2010-11,2011-04-16T00:00:00Z,West Brom,Chelsea,1,3,A,1,3,A
2010-11,2011-04-16T00:00:00Z,West Ham,Aston Villa,1,2,A,1,1,D
2010-11,2011-04-17T00:00:00Z,Arsenal,Liverpool,1,1,D,0,0,D
